scenario,crim_pos,crim_strat,crim_bounded_rat,crim_bound_rat_time,crim_loose_goal,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
156,centre,random,TRUE,3,TRUE,TRUE,10,largest,metro_platform,main,3,5
157,centre,random,TRUE,3,TRUE,TRUE,10,largest,metro_platform,main,5,5
158,centre,random,TRUE,3,TRUE,TRUE,10,largest,metro_platform,main,10,5
159,centre,random,TRUE,3,TRUE,TRUE,10,largest,metro_platform,side,3,5
160,centre,random,TRUE,3,TRUE,TRUE,10,largest,metro_platform,side,5,5
161,centre,random,TRUE,3,TRUE,TRUE,10,largest,metro_platform,side,10,5
162,centre,random,TRUE,3,TRUE,TRUE,10,largest,station_exit,main,3,5
163,centre,random,TRUE,3,TRUE,TRUE,10,largest,station_exit,main,5,5
164,centre,random,TRUE,3,TRUE,TRUE,10,largest,station_exit,main,10,5
165,centre,random,TRUE,3,TRUE,TRUE,10,largest,station_exit,side,3,5
166,centre,random,TRUE,3,TRUE,TRUE,10,largest,station_exit,side,5,5
167,centre,random,TRUE,3,TRUE,TRUE,10,largest,station_exit,side,10,5
168,centre,random,TRUE,3,TRUE,TRUE,10,surround,metro_platform,main,3,5
169,centre,random,TRUE,3,TRUE,TRUE,10,surround,metro_platform,main,5,5
170,centre,random,TRUE,3,TRUE,TRUE,10,surround,metro_platform,main,10,5
171,centre,random,TRUE,3,TRUE,TRUE,10,surround,metro_platform,side,3,5
172,centre,random,TRUE,3,TRUE,TRUE,10,surround,metro_platform,side,5,5
173,centre,random,TRUE,3,TRUE,TRUE,10,surround,metro_platform,side,10,5
174,centre,random,TRUE,3,TRUE,TRUE,10,surround,station_exit,main,3,5
175,centre,random,TRUE,3,TRUE,TRUE,10,surround,station_exit,main,5,5
176,centre,random,TRUE,3,TRUE,TRUE,10,surround,station_exit,main,10,5
177,centre,random,TRUE,3,TRUE,TRUE,10,surround,station_exit,side,3,5
178,centre,random,TRUE,3,TRUE,TRUE,10,surround,station_exit,side,5,5
179,centre,random,TRUE,3,TRUE,TRUE,10,surround,station_exit,side,10,5
180,centre,random,TRUE,3,TRUE,FALSE,10,furthest,metro_platform,main,3,5
181,centre,random,TRUE,3,TRUE,FALSE,10,furthest,metro_platform,main,5,5
182,centre,random,TRUE,3,TRUE,FALSE,10,furthest,metro_platform,main,10,5
183,centre,random,TRUE,3,TRUE,FALSE,10,furthest,metro_platform,side,3,5
184,centre,random,TRUE,3,TRUE,FALSE,10,furthest,metro_platform,side,5,5
185,centre,random,TRUE,3,TRUE,FALSE,10,furthest,metro_platform,side,10,5
186,centre,random,TRUE,3,TRUE,FALSE,10,furthest,station_exit,main,3,5
187,centre,random,TRUE,3,TRUE,FALSE,10,furthest,station_exit,main,5,5
188,centre,random,TRUE,3,TRUE,FALSE,10,furthest,station_exit,main,10,5
189,centre,random,TRUE,3,TRUE,FALSE,10,furthest,station_exit,side,3,5
190,centre,random,TRUE,3,TRUE,FALSE,10,furthest,station_exit,side,5,5
191,centre,random,TRUE,3,TRUE,FALSE,10,furthest,station_exit,side,10,5
192,centre,random,TRUE,3,TRUE,FALSE,10,largest,metro_platform,main,3,5
193,centre,random,TRUE,3,TRUE,FALSE,10,largest,metro_platform,main,5,5
194,centre,random,TRUE,3,TRUE,FALSE,10,largest,metro_platform,main,10,5
195,centre,random,TRUE,3,TRUE,FALSE,10,largest,metro_platform,side,3,5
196,centre,random,TRUE,3,TRUE,FALSE,10,largest,metro_platform,side,5,5
197,centre,random,TRUE,3,TRUE,FALSE,10,largest,metro_platform,side,10,5
198,centre,random,TRUE,3,TRUE,FALSE,10,largest,station_exit,main,3,5
199,centre,random,TRUE,3,TRUE,FALSE,10,largest,station_exit,main,5,5
200,centre,random,TRUE,3,TRUE,FALSE,10,largest,station_exit,main,10,5
201,centre,random,TRUE,3,TRUE,FALSE,10,largest,station_exit,side,3,5
202,centre,random,TRUE,3,TRUE,FALSE,10,largest,station_exit,side,5,5
203,centre,random,TRUE,3,TRUE,FALSE,10,largest,station_exit,side,10,5
204,centre,random,TRUE,3,TRUE,FALSE,10,surround,metro_platform,main,3,5
205,centre,random,TRUE,3,TRUE,FALSE,10,surround,metro_platform,main,5,5
206,centre,random,TRUE,3,TRUE,FALSE,10,surround,metro_platform,main,10,5
207,centre,random,TRUE,3,TRUE,FALSE,10,surround,metro_platform,side,3,5
208,centre,random,TRUE,3,TRUE,FALSE,10,surround,metro_platform,side,5,5
209,centre,random,TRUE,3,TRUE,FALSE,10,surround,metro_platform,side,10,5
210,centre,random,TRUE,3,TRUE,FALSE,10,surround,station_exit,main,3,5
211,centre,random,TRUE,3,TRUE,FALSE,10,surround,station_exit,main,5,5
212,centre,random,TRUE,3,TRUE,FALSE,10,surround,station_exit,main,10,5
213,centre,random,TRUE,3,TRUE,FALSE,10,surround,station_exit,side,3,5
214,centre,random,TRUE,3,TRUE,FALSE,10,surround,station_exit,side,5,5
215,centre,random,TRUE,3,TRUE,FALSE,10,surround,station_exit,side,10,5
