scenario,crim_pos,crim_strat,crim_bounded_rat,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
164,centre,to_train,True,True,10,largest,station_exit,main,10,5
165,centre,to_train,True,True,10,largest,station_exit,side,3,5
166,centre,to_train,True,True,10,largest,station_exit,side,5,5
167,centre,to_train,True,True,10,largest,station_exit,side,10,5
168,centre,to_train,True,True,10,surround,metro_platform,main,3,5
169,centre,to_train,True,True,10,surround,metro_platform,main,5,5
170,centre,to_train,True,True,10,surround,metro_platform,main,10,5
171,centre,to_train,True,True,10,surround,metro_platform,side,3,5
172,centre,to_train,True,True,10,surround,metro_platform,side,5,5
173,centre,to_train,True,True,10,surround,metro_platform,side,10,5
174,centre,to_train,True,True,10,surround,station_exit,main,3,5
175,centre,to_train,True,True,10,surround,station_exit,main,5,5
176,centre,to_train,True,True,10,surround,station_exit,main,10,5
177,centre,to_train,True,True,10,surround,station_exit,side,3,5
178,centre,to_train,True,True,10,surround,station_exit,side,5,5
179,centre,to_train,True,True,10,surround,station_exit,side,10,5
180,centre,to_train,True,False,10,furthest,metro_platform,main,3,5
181,centre,to_train,True,False,10,furthest,metro_platform,main,5,5
182,centre,to_train,True,False,10,furthest,metro_platform,main,10,5
183,centre,to_train,True,False,10,furthest,metro_platform,side,3,5
184,centre,to_train,True,False,10,furthest,metro_platform,side,5,5
185,centre,to_train,True,False,10,furthest,metro_platform,side,10,5
186,centre,to_train,True,False,10,furthest,station_exit,main,3,5
187,centre,to_train,True,False,10,furthest,station_exit,main,5,5
188,centre,to_train,True,False,10,furthest,station_exit,main,10,5
189,centre,to_train,True,False,10,furthest,station_exit,side,3,5
190,centre,to_train,True,False,10,furthest,station_exit,side,5,5
191,centre,to_train,True,False,10,furthest,station_exit,side,10,5
192,centre,to_train,True,False,10,largest,metro_platform,main,3,5
193,centre,to_train,True,False,10,largest,metro_platform,main,5,5
194,centre,to_train,True,False,10,largest,metro_platform,main,10,5
195,centre,to_train,True,False,10,largest,metro_platform,side,3,5
196,centre,to_train,True,False,10,largest,metro_platform,side,5,5
197,centre,to_train,True,False,10,largest,metro_platform,side,10,5
198,centre,to_train,True,False,10,largest,station_exit,main,3,5
199,centre,to_train,True,False,10,largest,station_exit,main,5,5
200,centre,to_train,True,False,10,largest,station_exit,main,10,5
201,centre,to_train,True,False,10,largest,station_exit,side,3,5
