scenario,crim_pos,crim_strat,crim_bounded_rat,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
208,centre,furthest,False,10,surround,metro_platform,side,5,5
209,centre,furthest,False,10,surround,metro_platform,side,10,5
210,centre,furthest,False,10,surround,station_exit,main,3,5
211,centre,furthest,False,10,surround,station_exit,main,5,5
212,centre,furthest,False,10,surround,station_exit,main,10,5
213,centre,furthest,False,10,surround,station_exit,side,3,5
214,centre,furthest,False,10,surround,station_exit,side,5,5
215,centre,furthest,False,10,surround,station_exit,side,10,5
216,end,random,True,10,furthest,metro_platform,main,3,5
217,end,random,True,10,furthest,metro_platform,main,5,5
218,end,random,True,10,furthest,metro_platform,main,10,5
219,end,random,True,10,furthest,metro_platform,side,3,5
220,end,random,True,10,furthest,metro_platform,side,5,5
221,end,random,True,10,furthest,metro_platform,side,10,5
222,end,random,True,10,furthest,station_exit,main,3,5
223,end,random,True,10,furthest,station_exit,main,5,5
224,end,random,True,10,furthest,station_exit,main,10,5
225,end,random,True,10,furthest,station_exit,side,3,5
226,end,random,True,10,furthest,station_exit,side,5,5
227,end,random,True,10,furthest,station_exit,side,10,5
228,end,random,True,10,largest,metro_platform,main,3,5
229,end,random,True,10,largest,metro_platform,main,5,5
230,end,random,True,10,largest,metro_platform,main,10,5
231,end,random,True,10,largest,metro_platform,side,3,5
232,end,random,True,10,largest,metro_platform,side,5,5
233,end,random,True,10,largest,metro_platform,side,10,5
234,end,random,True,10,largest,station_exit,main,3,5
235,end,random,True,10,largest,station_exit,main,5,5
236,end,random,True,10,largest,station_exit,main,10,5
237,end,random,True,10,largest,station_exit,side,3,5
238,end,random,True,10,largest,station_exit,side,5,5
239,end,random,True,10,largest,station_exit,side,10,5
240,end,random,True,10,surround,metro_platform,main,3,5
241,end,random,True,10,surround,metro_platform,main,5,5
242,end,random,True,10,surround,metro_platform,main,10,5
243,end,random,True,10,surround,metro_platform,side,3,5
244,end,random,True,10,surround,metro_platform,side,5,5
245,end,random,True,10,surround,metro_platform,side,10,5
246,end,random,True,10,surround,station_exit,main,3,5
247,end,random,True,10,surround,station_exit,main,5,5
248,end,random,True,10,surround,station_exit,main,10,5
249,end,random,True,10,surround,station_exit,side,3,5
250,end,random,True,10,surround,station_exit,side,5,5
251,end,random,True,10,surround,station_exit,side,10,5
252,end,random,False,10,furthest,metro_platform,main,3,5
253,end,random,False,10,furthest,metro_platform,main,5,5
254,end,random,False,10,furthest,metro_platform,main,10,5
255,end,random,False,10,furthest,metro_platform,side,3,5
256,end,random,False,10,furthest,metro_platform,side,5,5
257,end,random,False,10,furthest,metro_platform,side,10,5
258,end,random,False,10,furthest,station_exit,main,3,5
259,end,random,False,10,furthest,station_exit,main,5,5
260,end,random,False,10,furthest,station_exit,main,10,5
261,end,random,False,10,furthest,station_exit,side,3,5
262,end,random,False,10,furthest,station_exit,side,5,5
263,end,random,False,10,furthest,station_exit,side,10,5
264,end,random,False,10,largest,metro_platform,main,3,5
265,end,random,False,10,largest,metro_platform,main,5,5
266,end,random,False,10,largest,metro_platform,main,10,5
267,end,random,False,10,largest,metro_platform,side,3,5
268,end,random,False,10,largest,metro_platform,side,5,5
269,end,random,False,10,largest,metro_platform,side,10,5
270,end,random,False,10,largest,station_exit,main,3,5
271,end,random,False,10,largest,station_exit,main,5,5
272,end,random,False,10,largest,station_exit,main,10,5
273,end,random,False,10,largest,station_exit,side,3,5
274,end,random,False,10,largest,station_exit,side,5,5
275,end,random,False,10,largest,station_exit,side,10,5
276,end,random,False,10,surround,metro_platform,main,3,5
277,end,random,False,10,surround,metro_platform,main,5,5
278,end,random,False,10,surround,metro_platform,main,10,5
279,end,random,False,10,surround,metro_platform,side,3,5
280,end,random,False,10,surround,metro_platform,side,5,5
281,end,random,False,10,surround,metro_platform,side,10,5
282,end,random,False,10,surround,station_exit,main,3,5
283,end,random,False,10,surround,station_exit,main,5,5
284,end,random,False,10,surround,station_exit,main,10,5
285,end,random,False,10,surround,station_exit,side,3,5
286,end,random,False,10,surround,station_exit,side,5,5
287,end,random,False,10,surround,station_exit,side,10,5
288,end,to_train,True,10,furthest,metro_platform,main,3,5
289,end,to_train,True,10,furthest,metro_platform,main,5,5
290,end,to_train,True,10,furthest,metro_platform,main,10,5
291,end,to_train,True,10,furthest,metro_platform,side,3,5
292,end,to_train,True,10,furthest,metro_platform,side,5,5
293,end,to_train,True,10,furthest,metro_platform,side,10,5
294,end,to_train,True,10,furthest,station_exit,main,3,5
295,end,to_train,True,10,furthest,station_exit,main,5,5
296,end,to_train,True,10,furthest,station_exit,main,10,5
297,end,to_train,True,10,furthest,station_exit,side,3,5
298,end,to_train,True,10,furthest,station_exit,side,5,5
299,end,to_train,True,10,furthest,station_exit,side,10,5
300,end,to_train,True,10,largest,metro_platform,main,3,5
301,end,to_train,True,10,largest,metro_platform,main,5,5
302,end,to_train,True,10,largest,metro_platform,main,10,5
303,end,to_train,True,10,largest,metro_platform,side,3,5
304,end,to_train,True,10,largest,metro_platform,side,5,5
305,end,to_train,True,10,largest,metro_platform,side,10,5
306,end,to_train,True,10,largest,station_exit,main,3,5
307,end,to_train,True,10,largest,station_exit,main,5,5
308,end,to_train,True,10,largest,station_exit,main,10,5
309,end,to_train,True,10,largest,station_exit,side,3,5
310,end,to_train,True,10,largest,station_exit,side,5,5
311,end,to_train,True,10,largest,station_exit,side,10,5
312,end,to_train,True,10,surround,metro_platform,main,3,5
313,end,to_train,True,10,surround,metro_platform,main,5,5
314,end,to_train,True,10,surround,metro_platform,main,10,5
315,end,to_train,True,10,surround,metro_platform,side,3,5
316,end,to_train,True,10,surround,metro_platform,side,5,5
317,end,to_train,True,10,surround,metro_platform,side,10,5
318,end,to_train,True,10,surround,station_exit,main,3,5
319,end,to_train,True,10,surround,station_exit,main,5,5
320,end,to_train,True,10,surround,station_exit,main,10,5
321,end,to_train,True,10,surround,station_exit,side,3,5
322,end,to_train,True,10,surround,station_exit,side,5,5
323,end,to_train,True,10,surround,station_exit,side,10,5
324,end,to_train,False,10,furthest,metro_platform,main,3,5
325,end,to_train,False,10,furthest,metro_platform,main,5,5
326,end,to_train,False,10,furthest,metro_platform,main,10,5
327,end,to_train,False,10,furthest,metro_platform,side,3,5
328,end,to_train,False,10,furthest,metro_platform,side,5,5
329,end,to_train,False,10,furthest,metro_platform,side,10,5
330,end,to_train,False,10,furthest,station_exit,main,3,5
331,end,to_train,False,10,furthest,station_exit,main,5,5
332,end,to_train,False,10,furthest,station_exit,main,10,5
333,end,to_train,False,10,furthest,station_exit,side,3,5
334,end,to_train,False,10,furthest,station_exit,side,5,5
335,end,to_train,False,10,furthest,station_exit,side,10,5
336,end,to_train,False,10,largest,metro_platform,main,3,5
337,end,to_train,False,10,largest,metro_platform,main,5,5
338,end,to_train,False,10,largest,metro_platform,main,10,5
339,end,to_train,False,10,largest,metro_platform,side,3,5
340,end,to_train,False,10,largest,metro_platform,side,5,5
341,end,to_train,False,10,largest,metro_platform,side,10,5
342,end,to_train,False,10,largest,station_exit,main,3,5
343,end,to_train,False,10,largest,station_exit,main,5,5
344,end,to_train,False,10,largest,station_exit,main,10,5
345,end,to_train,False,10,largest,station_exit,side,3,5
346,end,to_train,False,10,largest,station_exit,side,5,5
347,end,to_train,False,10,largest,station_exit,side,10,5
348,end,to_train,False,10,surround,metro_platform,main,3,5
